ApprovalTime,AutoApprovalTime,AssignmentId,trainBlock_T9,trainBlock_T8,condition_T12,condition_T11,trainBlock_T1,trainBlock_T3,trainBlock_T2,trainBlock_T5,trainBlock_T4,trainBlock_T7,trainBlock_T6,selected_T9,selected_T8,selected_T1,selected_T11,selected_T3,selected_T2,selected_T5,selected_T4,selected_T7,selected_T6,category_T10,education,trainBlock_T10,selected_T12,asses,comments,trainPics_T4,trainPics_T5,trainPics_T6,trainPics_T7,trainPics_T1,trainPics_T2,trainPics_T3,condition_T10,category_T12,trainPics_T8,trainPics_T9,selected_T10,category_T11,word_T8,word_T9,trainBlock_T12,word_T4,word_T5,word_T6,word_T7,word_T1,word_T2,word_T3,category_T8,category_T9,trainPics_T12,trainPics_T10,trainPics_T11,category_T1,category_T2,category_T3,category_T4,category_T5,category_T6,category_T7,enjoyment,word_T12,language,word_T10,word_T11,gender,age,trainBlock_T11,condition_T2,condition_T3,condition_T1,condition_T6,condition_T7,condition_T4,condition_T5,condition_T8,condition_T9,AcceptTime,HITId,Assignment,AssignmentStatus,SubmitTime,exp,subids
2016-12-05T22:46:07Z,2016-12-05T22:45:44Z,308Q0PEVB8D999FGXNFBZ69EPRAI94,three,three,three_superordinate,three_subordinate,one,one,one,three,three,three,three,"c2_sub2,c2_sub1","c1_sub1,c1_sub2,c1_bas1,c1_bas2",c2_sub1,"c1_sub2,c1_sub1","c1_sub2,c1_sub1","c3_sub2,c3_sub1","c3_sub2,c3_sub1","c1_sub1,c1_sub2","c2_sub1,c2_bas1,c2_bas2,c2_sub2","c3_sub2,c3_sub1",vehicles,3,three,"c3_sup4,c3_bas2,c3_sub1,c3_sup3,c3_sup1,c3_bas1,c3_sub2,c3_sup2",Yes,,c1_sup6-c1_sub3-c1_sup5,c3_sub3-c3_bas4-c3_bas3,c3_sub3-c3_sub4-c3_sub5,c2_bas3-c2_sub3-c2_bas4,c2_sub3,c3_sub3,c1_sub3,three_superordinate,animals,c1_bas4-c1_sub3-c1_bas3,c2_sub5-c2_sub3-c2_sub4,"c2_sub2,c2_sup3,c2_sup4,c2_bas2,c2_bas1,c2_sup2,c2_sub1,c2_sup1",vegetables,zom,wug,three,sib,rif,tob,tev,wug,tob,fep,vegetables,vehicles,c3_sub3-c3_sup6-c3_sup5,c2_sub3-c2_sup6-c2_sup5,c1_sub4-c1_sub5-c1_sub3,vehicles,animals,vegetables,vegetables,animals,animals,vehicles,2,mep,English,rab,fep,Female,24,three,one,one,one,three_subordinate,three_basic,three_superordinate,three_basic,three_basic,three_subordinate,2016-12-05T22:23:22Z,341YLJU21IZVM5WNMCVU0Z6D6ICI2P,,Approved,2016-12-05T22:35:44Z,1,1
2016-12-05T22:41:07Z,2016-12-05T22:41:03Z,31UV0MXWNQCQ8MD4UX2UNQ4C3VR5I0,three,three,three_subordinate,three_superordinate,one,one,one,three,three,three,three,"c3_bas1,c3_sub1,c3_bas2,c3_sub2","c2_sup1,c2_sub1,c2_bas2,c2_sup2,c2_sup4,c2_sub2,c2_sup3,c2_bas1","c1_sub2,c1_sub1,c1_bas1,c1_bas2","c3_bas1,c3_sub2,c3_bas2,c3_sup1,c3_sup4,c3_sub1,c3_sup3","c2_bas2,c2_sub2,c2_sub1,c2_bas1","c3_bas2,c3_sub1,c3_sub2,c3_bas1","c1_sup3,c1_sup2,c1_sup4,c1_sub2,c1_bas2,c1_sub1,c1_sup1,c1_bas1","c1_sub1,c1_sub2,c1_bas2,c1_bas1","c1_bas1,c1_sub2,c1_sub1,c1_bas2","c2_sub2,c2_sub1,c2_bas1,c2_bas2",vehicles,0,three,"c3_sub1,c3_sub2",Confused,It was interesting and I will probably wonder if I did it correctly or not. I don't think I did in the beginning.,c1_sub4-c1_sub5-c1_sub3,c1_sup6-c1_sup5-c1_sub3,c2_bas4-c2_sub3-c2_bas3,c1_sub3-c1_bas3-c1_bas4,c1_sub3,c3_sub3,c2_sub3,three_subordinate,animals,c2_sup5-c2_sub3-c2_sup6,c3_bas3-c3_sub3-c3_bas4,"c2_sub1,c2_sub2",animals,sib,rif,three,tev,fep,zom,mep,tev,rab,wug,vehicles,animals,c3_sub4-c3_sub5-c3_sub3,c2_sub4-c2_sub3-c2_sub5,c3_sup5-c3_sup6-c3_sub3,vegetables,animals,vehicles,vegetables,vegetables,vehicles,vegetables,2,rab,English,wug,tob,Female,41,three,one,one,one,three_basic,three_basic,three_subordinate,three_superordinate,three_superordinate,three_basic,2016-12-05T22:23:22Z,341YLJU21IZVM5WNMCVU0Z6D6ICI2P,,Approved,2016-12-05T22:31:03Z,1,2
2016-12-05T22:42:07Z,2016-12-05T22:41:08Z,31UV0MXWNQCQ8MD4UX2UNQ4C3VRI5D,three,three,three_superordinate,three_basic,one,one,one,three,three,three,three,"c3_bas1,c3_bas2,c3_sup1,c3_sup3,c3_sub1,c3_sup4,c3_sup2","c2_bas2,c2_sub1,c2_sup1,c2_sup3,c2_sup4","c2_sub1,c2_sub2,c2_bas1","c3_sub2,c3_bas2,c3_bas1,c3_sub1","c1_sub1,c1_bas2,c1_bas1,c1_sub2","c3_bas1,c3_sub2,c3_bas2",c2_sub1,"c2_sub2,c2_bas1,c2_sub1","c1_sub1,c1_sub2","c3_sub2,c3_sub1",vegetables,2,three,"c1_sup2,c1_sup4,c1_bas1,c1_bas2,c1_sup1,c1_sub2","NA",,c2_bas3-c2_sub3-c2_bas4,c2_sub4-c2_sub5-c2_sub3,c3_sub4-c3_sub3-c3_sub5,c1_sub4-c1_sub5-c1_sub3,c2_sub3,c3_sub3,c1_sub3,three_basic,vegetables,c2_sup5-c2_sup6-c2_sub3,c3_sub3-c3_sup5-c3_sup6,"c1_bas2,c1_bas1",animals,rab,rif,three,sib,fep,tob,zom,fep,tob,zom,vehicles,animals,c1_sup6-c1_sub3-c1_sup5,c1_bas4-c1_sub3-c1_bas3,c3_sub3-c3_bas4-c3_bas3,vehicles,animals,vegetables,vehicles,vehicles,animals,vegetables,1,tev,english,mep,wug,,,three,one,one,one,three_subordinate,three_subordinate,three_basic,three_subordinate,three_superordinate,three_superordinate,2016-12-05T22:23:14Z,341YLJU21IZVM5WNMCVU0Z6D6ICI2P,,Approved,2016-12-05T22:31:08Z,1,3
2016-12-05T23:07:07Z,2016-12-05T23:06:16Z,339ANSOTR52TQ5Y71K60PFNU0LMKI0,three,three,three_basic,three_superordinate,one,one,one,three,three,three,three,"c2_sup3,c2_sup4,c2_sup1,c2_sub2,c2_bas1,c2_sub1,c2_bas2,c2_sup2","c1_sup4,c1_sub2,c1_sub1,c1_bas1,c1_bas2,c1_sup1,c1_sup3,c1_sup2","c3_bas1,c3_bas2,c3_sub2,c3_sub1","c3_sup1,c3_sub1,c3_sup3,c3_bas2,c3_bas1,c3_sup2,c3_sup4,c3_sub2","c1_bas2,c1_sub1,c1_bas1,c1_sub2","c2_sub1,c2_sub2,c2_bas2,c2_bas1","c3_sub2,c3_sub1","c2_sub1,c2_sub2","c2_bas2,c2_sub1,c2_bas1,c2_sub2","c3_sub2,c3_bas1,c3_sub1,c3_bas2",vegetables,2,three,"c1_bas2,c1_bas1,c1_sub2,c1_sub1",Yes,,c2_sub4-c2_sub3-c2_sub5,c3_sub3-c3_sub5-c3_sub4,c3_bas3-c3_bas4-c3_sub3,c2_bas3-c2_bas4-c2_sub3,c3_sub3,c2_sub3,c1_sub3,three_subordinate,vegetables,c1_sup5-c1_sup6-c1_sub3,c2_sub3-c2_sup5-c2_sup6,"c1_sub1,c1_sub2",animals,zom,rab,three,wug,sib,fep,tev,sib,wug,tob,vegetables,vehicles,c1_sub3-c1_bas4-c1_bas3,c1_sub4-c1_sub3-c1_sub5,c3_sup5-c3_sub3-c3_sup6,animals,vehicles,vegetables,vehicles,animals,animals,vehicles,2,mep,English,tob,rif,Male,30,three,one,one,one,three_basic,three_basic,three_subordinate,three_subordinate,three_superordinate,three_superordinate,2016-12-05T22:23:27Z,341YLJU21IZVM5WNMCVU0Z6D6ICI2P,,Approved,2016-12-05T22:56:16Z,1,4
2016-12-05T22:39:07Z,2016-12-05T22:38:22Z,33LK57MYLT5D9E0P6X3OGWHUDS0ZSS,three,three,three_basic,three_basic,one,one,one,three,three,three,three,"c3_sub1,c3_sup2,c3_sub2,c3_sup4,c3_sup1,c3_bas2,c3_sup3,c3_bas1","c1_sup4,c1_bas1,c1_sup3,c1_sub2,c1_sup1,c1_sub1,c1_sup2,c1_bas2","c3_sub2,c3_sub1,c3_bas2,c3_bas1","c1_sub1,c1_bas1,c1_bas2,c1_sub2","c1_sub1,c1_bas1,c1_bas2,c1_sub2","c2_bas2,c2_bas1,c2_sub2,c2_sub1","c2_bas2,c2_sup1,c2_sub2,c2_sup2,c2_sub1,c2_sup4,c2_sup3,c2_bas1","c3_sub2,c3_sub1","c1_sub2,c1_sub1","c2_bas1,c2_bas2,c2_sub2,c2_sub1",vehicles,3,three,"c3_bas1,c3_sub1,c3_sub2,c3_bas2",Yes,,c3_sub3-c3_sub5-c3_sub4,c2_sup5-c2_sup6-c2_sub3,c2_bas3-c2_sub3-c2_bas4,c1_sub4-c1_sub5-c1_sub3,c3_sub3,c2_sub3,c1_sub3,three_subordinate,animals,c1_sup6-c1_sup5-c1_sub3,c3_sub3-c3_sup6-c3_sup5,"c2_sub2,c2_sub1",vegetables,wug,tob,three,sib,rif,rab,tev,sib,zom,tev,vegetables,animals,c3_bas4-c3_sub3-c3_bas3,c2_sub5-c2_sub4-c2_sub3,c1_sub3-c1_bas4-c1_bas3,animals,vehicles,vegetables,animals,vehicles,vehicles,vegetables,2,mep,English,zom,fep,Female,36,three,one,one,one,three_basic,three_subordinate,three_subordinate,three_superordinate,three_superordinate,three_superordinate,2016-12-05T22:23:30Z,341YLJU21IZVM5WNMCVU0Z6D6ICI2P,,Approved,2016-12-05T22:28:22Z,1,5
2016-12-05T22:45:07Z,2016-12-05T22:44:30Z,34Q075JO1XDGD9V5PKBCEWRZ5L501I,three,three,three_basic,three_subordinate,one,one,one,three,three,three,three,"c1_sub2,c1_sub1","c1_sub2,c1_sub1","c2_sub1,c2_sub2","c3_sub2,c3_sub1","c3_sub1,c3_sub2","c1_sub1,c1_sub2",c2_sub1,"c2_sub1,c2_sub2","c2_sub2,c2_sub1","c3_sub1,c3_sub2",vegetables,2,three,"c3_sub1,c3_sub2",Yes,"It has been funny, I hope I understood correctly what I had to do",c2_sub5-c2_sub4-c2_sub3,c2_bas3-c2_sub3-c2_bas4,c3_sup6-c3_sup5-c3_sub3,c2_sup6-c2_sup5-c2_sub3,c2_sub3,c1_sub3,c3_sub3,three_basic,animals,c1_sup6-c1_sub3-c1_sup5,c1_sub4-c1_sub5-c1_sub3,"c1_bas2,c1_bas1,c1_sub2,c1_sub1",animals,rif,mep,three,tev,zom,sib,wug,tev,mep,rab,vegetables,vegetables,c3_bas3-c3_sub3-c3_bas4,c1_sub3-c1_bas4-c1_bas3,c3_sub3-c3_sub4-c3_sub5,vehicles,vegetables,animals,vehicles,vehicles,animals,vehicles,2,fep,Italian,tob,rab,Male,37,three,one,one,one,three_superordinate,three_superordinate,three_subordinate,three_basic,three_superordinate,three_subordinate,2016-12-05T22:24:51Z,341YLJU21IZVM5WNMCVU0Z6D6ICI2P,,Approved,2016-12-05T22:34:30Z,1,6
2016-12-05T22:45:07Z,2016-12-05T22:45:02Z,354P56DE9K3UP4UJN2B5PCOV3ZO7S9,three,three,three_subordinate,three_superordinate,one,one,one,three,three,three,three,"c1_bas2,c1_sub1,c1_sub2","c1_sup1,c1_sup3,c1_bas2,c1_sub1,c1_sub2,c1_bas1,c1_sup4,c1_sup2","c3_sub2,c3_bas1,c3_sub1,c3_bas2","c3_sub2,c3_sup4,c3_bas2,c3_sup2,c3_bas1,c3_sub1,c3_sup1,c3_sup3","c1_bas1,c1_bas2,c1_sub1,c1_sub2","c2_sub1,c2_sub2,c2_bas2","c1_sub2,c1_sub1","c3_sub1,c3_bas1,c3_bas2,c3_sub2","c2_sub1,c2_sub2,c2_sup1,c2_sup2,c2_sup3,c2_sup4,c2_bas1,c2_bas2","c2_sub2,c2_bas2,c2_sub1,c2_bas1",animals,3,three,"c2_sub1,c2_sub2",Yes,None,c3_bas4-c3_sub3-c3_bas3,c1_sub3-c1_sub5-c1_sub4,c2_bas4-c2_bas3-c2_sub3,c2_sub3-c2_sup5-c2_sup6,c3_sub3,c2_sub3,c1_sub3,three_subordinate,vehicles,c1_sup5-c1_sup6-c1_sub3,c1_bas3-c1_bas4-c1_sub3,"c3_sub2,c3_sub1",animals,rif,wug,three,sib,zom,tob,fep,tev,rab,zom,vegetables,vegetables,c2_sub5-c2_sub3-c2_sub4,c3_sub4-c3_sub3-c3_sub5,c3_sup6-c3_sub3-c3_sup5,animals,vehicles,vegetables,animals,vegetables,vehicles,vehicles,2,rab,English,tev,mep,Male,25,three,one,one,one,three_basic,three_superordinate,three_basic,three_subordinate,three_superordinate,three_basic,2016-12-05T22:23:34Z,341YLJU21IZVM5WNMCVU0Z6D6ICI2P,,Approved,2016-12-05T22:35:02Z,1,7
2016-12-05T22:39:07Z,2016-12-05T22:39:05Z,358UUM7WRZ3IOPU68DB0Z2JZHX57RL,three,three,three_subordinate,three_basic,one,one,one,three,three,three,three,"c3_bas1,c3_bas2,c3_sub1,c3_sub2","c1_sup4,c1_sub2,c1_bas1,c1_sub1,c1_sup2,c1_bas2,c1_sup1,c1_sup3","c1_bas1,c1_sub1,c1_sub2","c2_sub2,c2_sub1,c2_bas1","c3_sub1,c3_bas1,c3_bas2,c3_sub2","c2_sub1,c2_sub2","c3_sub1,c3_sub2","c2_sub2,c2_sub1,c2_sup2,c2_bas1,c2_sup1,c2_bas2,c2_sup3,c2_sup4","c1_sub2,c1_sub1,c1_bas2,c1_bas1","c3_bas2,c3_sub2,c3_sup1,c3_sup3,c3_sup4,c3_bas1,c3_sup2,c3_sub1",vegetables,3,three,"c2_sub2,c2_sub1","NA",Thanks!,c2_sup5-c2_sub3-c2_sup6,c3_sub5-c3_sub4-c3_sub3,c3_sup6-c3_sub3-c3_sup5,c1_bas4-c1_sub3-c1_bas3,c1_sub3,c2_sub3,c3_sub3,three_subordinate,vehicles,c1_sup5-c1_sup6-c1_sub3,c3_bas3-c3_bas4-c3_sub3,"c1_sub1,c1_sub2",vehicles,wug,fep,three,zom,tob,rif,tev,sib,mep,tob,vegetables,animals,c2_sub5-c2_sub3-c2_sub4,c1_sub5-c1_sub3-c1_sub4,c2_sub3-c2_bas3-c2_bas4,vegetables,vehicles,animals,vehicles,animals,animals,vegetables,1,mep,English,sib,rab,,,three,one,one,one,three_superordinate,three_basic,three_superordinate,three_subordinate,three_superordinate,three_basic,2016-12-05T22:23:26Z,341YLJU21IZVM5WNMCVU0Z6D6ICI2P,,Approved,2016-12-05T22:29:05Z,1,8
2016-12-05T22:39:07Z,2016-12-05T22:38:42Z,35LDD5557A4FMOOYMZ4SH8UBHU6KMG,three,three,three_subordinate,three_basic,one,one,one,three,three,three,three,"c3_bas2,c3_sup4,c3_bas1,c3_sup1,c3_sub2,c3_sub1,c3_sup3,c3_sup2","c1_sub1,c1_sub2","c1_bas2,c1_sub2,c1_bas1,c1_sub1","c2_bas2,c2_sub2,c2_sub1,c2_bas1","c3_sub2,c3_sub1","c2_sub1,c2_sub2,c2_bas2","c3_bas2,c3_bas1,c3_sub1,c3_sub2","c1_bas2,c1_sub1,c1_sub2,c1_bas1","c3_sub1,c3_sub2","c2_bas2,c2_sub2,c2_sup2,c2_sup1,c2_bas1,c2_sup3,c2_sub1,c2_sup4",vegetables,3,three,"c2_sub1,c2_sub2",Yes,,c1_sub3-c1_bas3-c1_bas4,c3_sub3-c3_bas4-c3_bas3,c2_sup5-c2_sup6-c2_sub3,c3_sub5-c3_sub3-c3_sub4,c1_sub3,c2_sub3,c3_sub3,three_superordinate,vehicles,c1_sub4-c1_sub5-c1_sub3,c3_sup5-c3_sub3-c3_sup6,"c1_sup3,c1_sub2,c1_sup4,c1_sup1,c1_bas1,c1_sub1,c1_sup2,c1_bas2",vehicles,rab,tev,three,tob,rif,fep,sib,rab,mep,sib,vegetables,animals,c2_sub5-c2_sub3-c2_sub4,c1_sup6-c1_sub3-c1_sup5,c2_sub3-c2_bas3-c2_bas4,vegetables,vehicles,animals,vegetables,animals,vehicles,animals,1,mep,English,zom,wug,Male,29,three,one,one,one,three_superordinate,three_subordinate,three_basic,three_basic,three_subordinate,three_superordinate,2016-12-05T22:23:52Z,341YLJU21IZVM5WNMCVU0Z6D6ICI2P,,Approved,2016-12-05T22:28:42Z,1,9
2016-12-05T22:46:07Z,2016-12-05T22:45:39Z,36PW28KO4ZWBYNNZTA3KAMM63GLAE2,three,three,three_basic,three_subordinate,one,one,one,three,three,three,three,"c3_sub2,c3_sub1","c2_sub2,c2_sup1,c2_bas1,c2_sup4,c2_sub1,c2_bas2","c1_sub2,c1_bas2,c1_bas1,c1_sub1","c1_sub2,c1_sub1","c2_sub2,c2_bas2,c2_sub1,c2_bas1","c3_sub2,c3_sub1","c1_sub2,c1_sub1,c1_bas1,c1_sup1,c1_sup3,c1_sup4,c1_sup2,c1_bas2","c1_bas2,c1_bas1,c1_sub1,c1_sub2","c2_bas2,c2_sub2,c2_sub1,c2_bas1","c3_sub1,c3_sub2,c3_bas2,c3_bas1,c3_sup4,c3_sup1,c3_sup3,c3_sup2",vehicles,2,three,"c3_bas2,c3_bas1,c3_sub1,c3_sub2","NA",,c1_bas3-c1_sub3-c1_bas4,c1_sup6-c1_sup5-c1_sub3,c3_sub3-c3_sup6-c3_sup5,c2_bas3-c2_bas4-c2_sub3,c1_sub3,c3_sub3,c2_sub3,three_subordinate,animals,c2_sup6-c2_sub3-c2_sup5,c3_sub4-c3_sub5-c3_sub3,"c2_sub1,c2_sub2",vegetables,mep,rif,three,tob,sib,tev,fep,zom,rif,rab,vehicles,animals,c3_sub3-c3_bas3-c3_bas4,c2_sub5-c2_sub4-c2_sub3,c1_sub4-c1_sub3-c1_sub5,vegetables,animals,vehicles,vegetables,vegetables,animals,vehicles,1,wug,english,rab,zom,,,three,one,one,one,three_superordinate,three_basic,three_basic,three_superordinate,three_superordinate,three_subordinate,2016-12-05T22:23:26Z,341YLJU21IZVM5WNMCVU0Z6D6ICI2P,,Approved,2016-12-05T22:35:39Z,1,10
